1	R3      80
1	H	53
1	HSI	53
1	H140	53
1	H14	53
1	H146	53
1	HEST	53
1	HES	53
2	He	31
3	Li	167
4	Be	112
5	B	87
6	C	67
6	CBA	67
6	CB	67
6	C145	67
6	C14	67
6	CPHE	67
6	CBEN	67
6	CBE	67
6	MEST	67
6	MES	67
6	C136	67
6	C135	67
6	C13	67
6	CSI	67
6	CSI2	67
6	CSI3	67
6	CPH	67
6	CBC	67
6	CBZ	67
7	N	56
7	NZ	56
8	O	48
8	OEST	48
8	OES	48
8	OS	48
9	F	42
10	Ne	38
11	NA	190
12	Mg	145
13	Al	118
14	Si	111
14	SIL	111
15	P	98
16	S	88
17	Cl	79
18	Ar	71
19	K	243
20	Ca	194
21	Sc	184
22	Ti	176
23	V	171
24	Cr	166
25	Mn	161
26	Fe	156
27	Co	152
28	Ni	149
29	Cu	145
30	Zn	142
31	Ga	136
32	Ge	125
33	As	114
34	Se	103
35	Br	94
36	Kr	88
37	Rb	265
38	Sr	219
39	Y	212
40	Zr	206
41	Nb	198
42	Mo	190
43	Tc	183
44	Ru	178
45	Rh	173
46	Pd	169
47	Ag	165
48	Cd	161
49	In	156
50	Sn	145
51	Sb	133
52	Te	123
53	I	115
54	Xe	108
55	Cs	298
56	Ba	253
59	Pr	247
60	Nd	206
61	Pm	205
62	Sm	238
63	Eu	231
64	Gd	233
65	Tb	225
66	Dy	228
